997	1007
997	1131
997	1138
997	1159
997	1175
997	1234
997	1237
997	1267
997	1291
997	1318
997	1324
997	1335
997	1395
997	1551
997	1592
997	1628
997	1792
997	2343
997	2347
997	2628
997	2652
997	2787
997	2908
997	3010
997	3078
997	3204
997	3236
997	3314
997	3341
997	3364
997	3372
997	3389
997	3429
997	3597
997	3721
997	3820
997	3924
997	3925
997	3984
997	4099
997	4129
997	4342
997	4493
997	4554
997	4632
997	4849
997	4945
997	4972
997	4996
997	5001
997	5107
997	5243
997	5528
997	5607
997	5615
997	5679
997	5737
997	5755
997	5879
997	6048
997	6077
997	6097
1007	1131
1007	1138
1007	1159
1007	1175
1007	1234
1007	1237
1007	1267
1007	1287
1007	1291
1007	1318
1007	1324
1007	1335
1007	1395
1007	1433
1007	1551
1007	1592
1007	1628
1007	1792
1007	1897
1007	1968
1007	2073
1007	2135
1007	2222
1007	2245
1007	2343
1007	2347
1007	2443
1007	2628
1007	2758
1007	2775
1007	2787
1007	2854
1007	2855
1007	2872
1007	2908
1007	3010
1007	3034
1007	3078
1007	3204
1007	3236
1007	3300
1007	3314
1007	3364
1007	3372
1007	3374
1007	3378
1007	3389
1007	3421
1007	3429
1007	3446
1007	3535
1007	3579
1007	3597
1007	3721
1007	3737
1007	3745
1007	3820
1007	3833
1007	3853
1007	3924
1007	4028
1007	4036
1007	4129
1007	4132
1007	4266
1007	4342
1007	4359
1007	4409
1007	4413
1007	4493
1007	4519
1007	4557
1007	4613
1007	4621
1007	4632
1007	4671
1007	4812
1007	4817
1007	4826
1007	4842
1007	4945
1007	4995
1007	4996
1007	5000
1007	5001
1007	5037
1007	5053
1007	5107
1007	5120
1007	5123
1007	5165
1007	5243
1007	5259
1007	5263
1007	5266
1007	5336
1007	5443
1007	5528
1007	5538
1007	5584
1007	5595
1007	5607
1007	5615
1007	5737
1007	5879
1007	5911
1007	5913
1007	5942
1007	5973
1007	6048
1007	6077
1007	6097
1007	6109
1007	6117
1007	6136
5243	5263
5243	5355
5243	5443
5243	5615
5243	5735
5243	5879
5243	6109
5243	6117
95	97
95	102
95	126
95	294
95	453
95	507
95	638
95	645
95	677
95	822
95	866
95	882
95	889
95	970
95	997
95	1049
95	1077
95	1190
95	1196
95	1259
95	1287
95	1542
95	1575
95	1616
95	1628
95	1664
95	1714
95	1744
95	1883
95	1985
95	2002
95	2048
95	2076
95	2321
95	2333
95	2382
95	2411
